METHOD,PAPER NUMBER,PROPOSED,mAP,CATEGORY_CAR_AP,CATEGORY_PEDESTRIAN_AP,CATEGORY_CYCLIST_AP
ACF,28,0,,55.89,44.49,
DPM,28,0,,68.02,47.74,35.04
DPM-VOC+VP,28,0,,74.95,59.48,42.43
OC-DPM,28,0,,74.94,,
SubCat,28,0,,84.14,,
Regionlets,28,0,,84.75,73.14,70.41
AOG,28,0,,84.8,,
Faster R-CNN,28,0,,86.71,78.86,72.26
3DVP,28,0,,87.46,,
3DOP,28,0,,93.04,81.78,78.39
Mono3D,28,0,,92.33,80.35,76.04
SDP+RPN,28,0,,90.14,80.09,81.37
MS-CNN,28,0,,90.03,83.92,84.06
SubCNN-VGG16,28,1,,90.74,79.13,74.4
SubCNN-GoogleNet,28,1,,90.81,83.28,79.48
FilteredICF,28,0,,,67.65,
DeepParts,28,0,,,70.49,
SubCNN,29,0,77,,,
MS-CNN,29,0,78.5,,,
PNET,29,0,69.6,,,
Pie,29,0,78.6,,,
SqueezeDet,29,1,76.7,,,
SqueezeDet+,29,1,80.4,,,
VGG16+ConvDet,29,1,79.1,,,
ResNet50+ConvDet,29,1,76.1,,,
LSVM-MDPM-sv,14,0,,68.02,47.74,35.04
DPM-VOC-VP,14,0,,74.95,59.48,42.43
SubCat,14,0,,84.14,54.67,
3DVP,14,0,,87.46,,
AOG,14,0,,84.8,,
Faster-RCNN,14,0,,86.71,78.86,72.26
CompACT-Deep,14,0,,,70.69,
DeepParts,14,0,,,70.49,
FilteredICF,14,0,,,67.65,
pAUCEnsT,14,0,,,65.26,51.62
Regionlets,14,0,,84.75,73.14,70.41
3DOP,14,0,,93.04,81.78,78.39
SDP+RPN,14,0,,90.14,80.09,81.37
MS-CNN,14,1,,90.03,83.92,84.06
egionlet,21,0,,84.75,73.14,70.41
DPM-VOC+VP,21,0,,74.95,59.48,42.43
3DVP,21,0,,87.46,,
SubCat,21,0,,84.14,,
CompACT-Deep,21,0,,,70.69,
DeepParts,21,0,,,70.49,
FRCN+VGG16,21,0,,85.98,75.5,68.82
SDP,21,1,,88.34,76.89,70.13
SDP+CRC,21,1,,88.33,76.28,71.06
SDP+CRC_ft,21,1,,90.33,77.74,74.08
FRCN+AlexNet,21,0,56.5,,,
FRCN+VGG16,21,0,60.4,,,
SDP,21,1,65.1,,,
SDP+CRC,21,1,64.2,,,
SDP+CRC_ft,21,1,,,,